yearNum,formattedYear,era,isoYear,BC-AD,peopleBorn,peopleDied,events,booksWritten,modified
-1571,1571 BC,,-1570,BC,"moses_2108,amram_242",,,,2020-09-02 16:45
-1521,1521 BC,,-1520,BC,joshua_1727,,,,2019-07-22 00:52
-1451,1451 BC,,-1450,BC,,aaron_1,,,2020-09-02 02:03
-1424,1424 BC,,-1423,BC,,joshua_1727,,,2019-07-22 00:52
-1368,1368 BC,,-1367,BC,miriam_2087,,,,2019-07-22 00:52
-1358,1358 BC,,-1357,BC,,,,,2019-07-22 00:52
-1358,1358 BC,,-1357,BC,,,,,2019-07-22 00:52
-1355,1355 BC,,-1354,BC,,,,,2019-07-22 00:52
-1355,1355 BC,,-1354,BC,,,,,2019-07-22 00:52
-1321,1321 BC,,-1320,BC,,,,,2019-07-22 00:52
-1302,1302 BC,,-1301,BC,gershom_1302,,,,2019-07-22 00:52
-1240,1240 BC,,-1239,BC,,miriam_2087,,,2019-07-22 00:52
-1235,1235 BC,,-1234,BC,,,,,2019-07-22 00:52
-1235,1235 BC,,-1234,BC,,,,,2019-07-22 00:52
-1211,1211 BC,,-1210,BC,,,,,2019-07-22 00:52
-1152,1152 BC,,-1151,BC,samuel_2469,,,,2019-07-22 00:52
-1115,1115 BC,,-1114,BC,ruth_2450,,,,2019-07-22 00:52
-1090,1090 BC,,-1089,BC,samson_2468,,,,2019-07-22 00:52
-1086,1086 BC,,-1085,BC,,,,,2019-07-22 00:52
-1085,1085 BC,,-1084,BC,david_994,,,,2019-07-22 00:52
-1060,1060 BC,,-1059,BC,,samuel_2469,,,2019-07-22 00:52
-1054,1054 BC,,-1053,BC,saul_2478,,,,2019-07-22 00:52
-1035,1035 BC,,-1034,BC,solomon_2762,,,,2019-07-22 00:52
-1034,1034 BC,,-1033,BC,,,,,2019-07-22 00:52
-1015,1015 BC,,-1014,BC,,david_994,,,2019-07-22 00:52
-1006,1006 BC,,-1005,BC,,,,,2019-07-22 00:52
-1004,1004 BC,,-1003,BC,,saul_2478,,,2019-07-22 00:52
-1001,1001 BC,,-1000,BC,,ish-bosheth_622,,,2019-07-22 00:52
-989,989 BC,,-988,BC,,,,,2019-07-22 00:52
-976,976 BC,,-975,BC,,absalom_59,,,2019-07-22 00:52
-975,975 BC,,-974,BC,,sheba_2570,,,2019-07-22 00:52
-975,975 BC,,-974,BC,,solomon_2762,,,2019-07-22 00:52
-966,966 BC,,-965,BC,rehoboam_2412,,,,2019-07-22 00:52
-965,965 BC,,-964,BC,,adonijah_97,,,2019-07-22 00:52
-965,965 BC,,-964,BC,,,,,2019-07-22 00:52
-926,926 BC,,-925,BC,,,,,2019-07-22 00:52
-910,910 BC,,-909,BC,,rehoboam_2412,,,2019-07-22 00:52
-907,907 BC,,-906,BC,,abijah_38,,,2019-07-22 00:52
-868,868 BC,,-867,BC,,asa_318,,,2019-07-22 00:52
-847,847 BC,,-846,BC,,jehoshaphat_808,,,2019-07-22 00:52
-846,846 BC,,-845,BC,,"azariah_381,jehiel_773,michael_2066,shephatiah_2660,zechariah_3010",,,2019-07-22 00:52
-844,844 BC,,-843,BC,joash_1632,"ahaziah_121,jehoram_803",,,2019-07-22 00:52
-837,837 BC,,-836,BC,,athaliah_359,,,2019-07-22 00:52
-825,825 BC,,-824,BC,amaziah_214,,,,2019-07-22 00:52
-822,822 BC,,-821,BC,ahaziah_121,,,,2019-07-22 00:52
-808,808 BC,,-807,BC,uzziah_375,,,,2019-07-22 00:52
-802,802 BC,,-801,BC,jehoram_803,,,,2019-07-22 00:52
-800,800 BC,,-799,BC,,joash_1632,,,2019-07-22 00:52
-770,770 BC,,-769,BC,,amaziah_214,,,2019-07-22 00:52
-763,763 BC,,-762,BC,ahaz_118,,,,2019-07-22 00:52
-742,742 BC,,-741,BC,,uzziah_375,,,2019-07-22 00:52
-741,741 BC,,-740,BC,hezekiah_1512,,,,2019-07-22 00:52
-734,734 BC,,-733,BC,,jotham_1735,,,2019-07-22 00:52
