osisName,bookOrder,bookName,bookDiv,testament,shortName,slug,yearWritten,placeWritten,chapters,chapterCount,verseCount,writers,peopleCount,placeCount,modified
Jer,24,Jeremiah,Major Prophets,Old Testament,Je,jer,,,"Jer.1,Jer.2,Jer.3,Jer.4,Jer.5,Jer.6,Jer.7,Jer.8,Jer.9,Jer.10,Jer.11,Jer.12,Jer.13,Jer.14,Jer.15,Jer.16,Jer.17,Jer.18,Jer.19,Jer.20,Jer.21,Jer.22,Jer.23,Jer.24,Jer.25,Jer.26,Jer.27,Jer.28,Jer.29,Jer.30,Jer.31,Jer.32,Jer.33,Jer.34,Jer.35,Jer.36,Jer.37,Jer.38,Jer.39,Jer.40,Jer.41,Jer.42,Jer.43,Jer.44,Jer.45,Jer.46,Jer.47,Jer.48,Jer.49,Jer.50,Jer.51,Jer.52",52,1364,jeremiah_853,840,443,
Lam,25,Lamentations,Poetry-Wisdom,Old Testament,La,lam,,,"Lam.1,Lam.2,Lam.3,Lam.4,Lam.5",5,154,jeremiah_853,47,22,
Ezek,26,Ezekiel,Major Prophets,Old Testament,Eze,ezek,,,"Ezek.1,Ezek.2,Ezek.3,Ezek.4,Ezek.5,Ezek.6,Ezek.7,Ezek.8,Ezek.9,Ezek.10,Ezek.11,Ezek.12,Ezek.13,Ezek.14,Ezek.15,Ezek.16,Ezek.17,Ezek.18,Ezek.19,Ezek.20,Ezek.21,Ezek.22,Ezek.23,Ezek.24,Ezek.25,Ezek.26,Ezek.27,Ezek.28,Ezek.29,Ezek.30,Ezek.31,Ezek.32,Ezek.33,Ezek.34,Ezek.35,Ezek.36,Ezek.37,Ezek.38,Ezek.39,Ezek.40,Ezek.41,Ezek.42,Ezek.43,Ezek.44,Ezek.45,Ezek.46,Ezek.47,Ezek.48",48,1273,ezekiel_1237,482,195,
Dan,27,Daniel,Major Prophets,Old Testament,Da,dan,,,"Dan.1,Dan.2,Dan.3,Dan.4,Dan.5,Dan.6,Dan.7,Dan.8,Dan.9,Dan.10,Dan.11,Dan.12",12,357,daniel_975,158,40,
Hos,28,Hosea,Minor Prophets,Old Testament,Ho,hos,,,"Hos.1,Hos.2,Hos.3,Hos.4,Hos.5,Hos.6,Hos.7,Hos.8,Hos.9,Hos.10,Hos.11,Hos.12,Hos.13,Hos.14",14,197,hosea_1555,95,44,
Joel,29,Joel,Minor Prophets,Old Testament,Joe,joel,,,"Joel.1,Joel.2,Joel.3",3,73,joel_1660,31,16,
Amos,30,Amos,Minor Prophets,Old Testament,Am,amos,,,"Amos.1,Amos.2,Amos.3,Amos.4,Amos.5,Amos.6,Amos.7,Amos.8,Amos.9",9,146,amos_238,89,39,
Obad,31,Obadiah,Minor Prophets,Old Testament,Ob,obad,,,Obad.1,1,21,obadiah_2226,12,9,
Jonah,32,Jonah,Minor Prophets,Old Testament,Jon,jonah,,,"Jonah.1,Jonah.2,Jonah.3,Jonah.4",4,48,jonah_1689,35,10,
Mic,33,Micah,Minor Prophets,Old Testament,Mic,mic,,,"Mic.1,Mic.2,Mic.3,Mic.4,Mic.5,Mic.6,Mic.7",7,105,micah_2053,49,25,
Nah,34,Nahum,Minor Prophets,Old Testament,Na,nah,,,"Nah.1,Nah.2,Nah.3",3,47,nahum_2145,11,7,
Hab,35,Habakkuk,Minor Prophets,Old Testament,Hab,hab,,,"Hab.1,Hab.2,Hab.3",3,56,habakkuk_1334,15,3,
Zeph,36,Zephaniah,Minor Prophets,Old Testament,Zep,zeph,,,"Zeph.1,Zeph.2,Zeph.3",3,53,zephaniah_3040,29,13,
Hag,37,Haggai,Minor Prophets,Old Testament,Hag,hag,,,"Hag.1,Hag.2",2,38,haggai_1349,28,1,
Zech,38,Zechariah,Minor Prophets,Old Testament,Zec,zech,,,"Zech.1,Zech.2,Zech.3,Zech.4,Zech.5,Zech.6,Zech.7,Zech.8,Zech.9,Zech.10,Zech.11,Zech.12,Zech.13,Zech.14",14,211,zechariah_3016,120,58,
Mal,39,Malachi,Minor Prophets,Old Testament,Mal,mal,,,"Mal.1,Mal.2,Mal.3,Mal.4",4,55,malachi_1899,47,4,
Matt,40,Matthew,Gospels,New Testament,Mt,matt,50,,"Matt.1,Matt.2,Matt.3,Matt.4,Matt.5,Matt.6,Matt.7,Matt.8,Matt.9,Matt.10,Matt.11,Matt.12,Matt.13,Matt.14,Matt.15,Matt.16,Matt.17,Matt.18,Matt.19,Matt.20,Matt.21,Matt.22,Matt.23,Matt.24,Matt.25,Matt.26,Matt.27,Matt.28",28,1071,matthew_1971,431,69,
Mark,41,Mark,Gospels,New Testament,Mk,mark,67,,"Mark.1,Mark.2,Mark.3,Mark.4,Mark.5,Mark.6,Mark.7,Mark.8,Mark.9,Mark.10,Mark.11,Mark.12,Mark.13,Mark.14,Mark.15,Mark.16",16,678,mark_1679,245,46,
Luke,42,Luke,Gospels,New Testament,Lu,luke,57,,"Luke.1,Luke.2,Luke.3,Luke.4,Luke.5,Luke.6,Luke.7,Luke.8,Luke.9,Luke.10,Luke.11,Luke.12,Luke.13,Luke.14,Luke.15,Luke.16,Luke.17,Luke.18,Luke.19,Luke.20,Luke.21,Luke.22,Luke.23,Luke.24",24,1151,luke_1836,461,76,
John,43,John,Gospels,New Testament,Jn,john,,,"John.1,John.2,John.3,John.4,John.5,John.6,John.7,John.8,John.9,John.10,John.11,John.12,John.13,John.14,John.15,John.16,John.17,John.18,John.19,John.20,John.21",21,879,john_1677,514,62,
