"PlaceMarkID","Latitude","Longitude","Label"
"263","31.89","34.95","Bezek"
"264","31.9","35.21","Beeroth"
"265","31.9","35.62","Beth-nimrah"
"266","31.9","34.77","Beth-dagon"
"267","31.91","35.45","Zemaraim"
"268","31.91","35.26","Ai"
"269","31.92","35.05","Baalath"
"270","31.92","34.94","Gimzo"
"271","31.93","35.22","Bethel"
"272","31.93","35.29","Rimmon"
"273","31.93","34.78","Makkedah"
"274","31.93","35.42","Zeboim"
"275","31.94","35.72","Jazer"
"276","31.94","35.45","Naaran"
"277","31.95","35.92","Rabbah"
"278","31.95","34.89","Lud"
"279","31.95","35.29","Ophrah"
"280","31.96","35.91","Aroer"
"281","31.96","35.21","Ophni"
"282","31.96","34.95","Hadid"
"283","31.96","35.25","Chephar-ammoni"
"284","31.97","35.11","Elon"
"285","31.97","35.0","Gibbethon"
"286","31.97","35.27","Baal-hazor"
"287","31.98","35.22","Jeshanah"
"288","31.99","34.95","Neballat"
"289","32.01","35.7","Betonim"
"290","32.02","34.86","Ono"
"291","32.02","35.82","Abel-keramim"
"292","32.02","35.86","Jogbehah"
"293","32.02","35.52","Arabah"
"294","32.02","35.22","Gilgal"
"295","32.03","34.88","Jehud"
"296","32.03","34.82","Bene-berak"
"297","32.04","35.72","Havvoth-jair"
"298","32.04","35.73","Ezem"
"299","32.05","34.75","Joppa"
"300","32.05","35.28","Shiloh"
"301","32.06","34.88","Gath-rimmon"
"302","32.07","35.23","Lebonah"
"303","32.09","35.56","Adam"
"304","32.1","34.94","Antipatris"
"305","32.1","34.93","Aphek"
"306","32.11","35.23","Tappuah"
"307","32.12","35.15","Gaash"
"308","32.12","45.22","Canneh"
"309","32.13","34.78","Rakkon"
"310","32.13","35.03","Kanah"
"311","32.15","35.12","Enam"
"312","32.15","35.38","Taanath-shiloh"
"313","32.15","35.31","Rumah"
"314","32.15","35.36","Janoah"
"315","32.16","35.16","Tiphsah"
"316","32.17","35.22","Hosah"
"317","32.17","48.22","Ulai"
"318","32.18","35.28","Michmethath"
"319","32.18","35.7","Penuel"
"320","32.18","48.25","Susa"
"321","32.19","35.67","Jabbok"
"322","32.19","35.27","Gerizim"
"323","32.19","35.63","Succoth"
"324","32.2","35.31","Sychar"
"325","32.21","35.28","Shechem"
"326","32.21","35.63","Mahanaim"
"327","32.23","35.27","Ebal"
"328","32.23","35.58","Zaphon"
